"FileName","ExpectedCost","ActualCost","Status","Difference"
"ShpfyGQLAcceptFFRequest.Codeunit.al","10","10","Match","0"
"ShpfyGQLAddProductImage.Codeunit.al","10","20","Underestimated","10"
"ShpfyGQLAllCustomerIds.Codeunit.al","103","11","Overestimated","-92"
"ShpfyGQLApiKey.Codeunit.al","3","3","Match","0"
"ShpfyGQLAssignedFFOrders.Codeunit.al","12","8","Overestimated","-4"
"ShpfyGQLBulkOperation.Codeunit.al","1","1","Match","0"
"ShpfyGQLBulkOperations.Codeunit.al","10","1","Overestimated","-9"
"ShpfyGQLBulkOpMutation.Codeunit.al","10","10","Match","0"
"ShpfyGQLCatalogMarkets.Codeunit.al","27","6","Overestimated","-21"
"ShpfyGQLCatalogPrices.Codeunit.al","304","31","Overestimated","-273"
"ShpfyGQLCatalogProducts.Codeunit.al","15","16","Underestimated","1"
"ShpfyGQLCatalogs.Codeunit.al","27","14","Overestimated","-13"
"ShpfyGQLCloseOrder.Codeunit.al","55","10","Overestimated","-45"
"ShpfyGQLCompany.Codeunit.al","10","14","Underestimated","4"
"ShpfyGQLCompanyAssignConRole.Codeunit.al","10","10","Match","0"
"ShpfyGQLCompanyAssignContact.Codeunit.al","10","10","Match","0"
"ShpfyGQLCompanyAssignMainCon.Codeunit.al","10","10","Match","0"
"ShpfyGQLCompanyIds.Codeunit.al","202","12","Overestimated","-190"
"ShpfyGQLCompanyMetafieldIds.Codeunit.al","50","10","Overestimated","-40"
"ShpfyGQLCompLocation.Codeunit.al","4","4","Match","0"
"ShpfyGQLCompLocations.Codeunit.al","24","22","Overestimated","-2"
"ShpfyGQLCreateCatalog.Codeunit.al","10","10","Match","0"
"ShpfyGQLCreateCompLocTaxId.Codeunit.al","4","10","Underestimated","6"
"ShpfyGQLCreateFulfillmentSvc.Codeunit.al","10","10","Match","0"
"ShpfyGQLCreatePriceList.Codeunit.al","10","10","Match","0"
"ShpfyGQLCreatePublication.Codeunit.al","10","10","Match","0"
"ShpfyGQLCreateUploadUrl.Codeunit.al","11","11","Match","0"
"ShpfyGQLCreateWebhookSub.Codeunit.al","10","10","Match","0"
"ShpfyGQLCustomer.Codeunit.al","15","12","Overestimated","-3"
"ShpfyGQLCustomerIds.Codeunit.al","202","12","Overestimated","-190"
"ShpfyGQLCustomerMetafieldIds.Codeunit.al","50","10","Overestimated","-40"
"ShpfyGQLDeleteWebhookSub.Codeunit.al","10","10","Match","0"
"ShpfyGQLDeliveryMethods.Codeunit.al","54","54","Match","0"
"ShpfyGQLDeliveryProfiles.Codeunit.al","9","9","Match","0"
"ShpfyGQLDisputeById.Codeunit.al","6","6","Match","0"
"ShpfyGQLDisputes.Codeunit.al","30","30","Match","0"
"ShpfyGQLDraftOrderComplete.Codeunit.al","11","11","Match","0"
